State,Race,Year,Cause of death,"Cause of death, Simplified","Cause of death, Type",Cause of death Code,"Cause of Death Simplified, with ICD10 Code",Firearm Deaths,Total Deaths,Population,Firearm Death Rate (per 100k),Total Death Rate (per 100k),Firearm Percent of Total Deaths
Alabama,Black or African American,1999,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),13,11080,1162673,1.118,953,0.00117
Alabama,Black or African American,1999,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),28,11080,1162673,2.408,953,0.00253
Alabama,Black or African American,1999,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",16,11080,1162673,1.376,953,0.00144
Alabama,Black or African American,1999,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),130,11080,1162673,11.181,953,0.01173
Alabama,Black or African American,1999,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),13,11080,1162673,1.118,953,0.00117
Alabama,Black or African American,1999,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),29,11080,1162673,2.494,953,0.00262
Alabama,White,1999,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),34,33623,3211308,1.059,1047,0.00101
Alabama,White,1999,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",12,33623,3211308,0.374,1047,0.00036
Alabama,White,1999,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),96,33623,3211308,2.989,1047,0.00286
Alabama,White,1999,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),81,33623,3211308,2.522,1047,0.00241
Alabama,White,1999,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",60,33623,3211308,1.868,1047,0.00178
Alabama,White,1999,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),248,33623,3211308,7.723,1047,0.00738
Alabama,Black or African American,2000,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),11,10914,1167623,0.942,935,0.00101
Alabama,Black or African American,2000,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),20,10914,1167623,1.713,935,0.00183
Alabama,Black or African American,2000,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",15,10914,1167623,1.285,935,0.00137
Alabama,Black or African American,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),168,10914,1167623,14.388,935,0.01539
Alabama,Black or African American,2000,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),14,10914,1167623,1.199,935,0.00128
Alabama,Black or African American,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),37,10914,1167623,3.169,935,0.00339
Alabama,White,2000,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),22,34049,3218218,0.684,1058,0.00065
Alabama,White,2000,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,34049,3218218,0.404,1058,0.00038
Alabama,White,2000,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),69,34049,3218218,2.144,1058,0.00203
Alabama,White,2000,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),66,34049,3218218,2.051,1058,0.00194
Alabama,White,2000,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",34,34049,3218218,1.056,1058,0.00100
Alabama,White,2000,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),272,34049,3218218,8.452,1058,0.00799
Alabama,Black or African American,2001,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),19,11100,1177479,1.614,943,0.00171
Alabama,Black or African American,2001,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",13,11100,1177479,1.104,943,0.00117
Alabama,Black or African American,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),148,11100,1177479,12.569,943,0.01333
Alabama,Black or African American,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),33,11100,1177479,2.803,943,0.00297
Alabama,White,2001,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),31,34119,3225628,0.961,1058,0.00091
Alabama,White,2001,Assault by handgun discharge,Homicide - Handgun,Homicide,X93,Homicide - Handgun (X93),13,34119,3225628,0.403,1058,0.00038
Alabama,White,2001,"Assault by rifle, shotgun and larger firearm discharge","Homicide - Rifle, Shotgun, or Large Firearm",Homicide,X94,"Homicide - Rifle, Shotgun, or Large Firearm (X94)",21,34119,3225628,0.651,1058,0.00062
Alabama,White,2001,Assault by other and unspecified firearm discharge,Homicide - Unspecified Firearm,Homicide,X95,Homicide - Unspecified Firearm (X95),88,34119,3225628,2.728,1058,0.00258
Alabama,White,2001,Intentional self-harm by handgun discharge,Suicide - Handgun,Suicide,X72,Suicide - Handgun (X72),56,34119,3225628,1.736,1058,0.00164
Alabama,White,2001,"Intentional self-harm by rifle, shotgun and larger firearm discharge","Suicide - Rifle, Shotgun, or Large Firearm",Suicide,X73,"Suicide - Rifle, Shotgun, or Large Firearm (X73)",47,34119,3225628,1.457,1058,0.00138
Alabama,White,2001,Intentional self-harm by other and unspecified firearm discharge,Suicide - Unspecified Firearm,Suicide,X74,Suicide - Unspecified Firearm (X74),234,34119,3225628,7.254,1058,0.00686
Alabama,Black or African American,2002,Discharge from other and unspecified firearms,Accidental - Unspecified Firearm,Accidental,W34,Accidental - Unspecified Firearm (W34),13,11225,1182591,1.099,949,0.00116
