"Notes"	"State"	"State Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Enterocolitis due to Clostridium difficile"	"A04.7"	62	3340633	1.9
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Septicaemia, unspecified"	"A41.9"	516	3340633	15.4
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Staphylococcal infection, unspecified"	"A49.0"	11	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	11	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Chronic viral hepatitis C"	"B18.2"	76	3340633	2.3
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	13	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	11	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	22	3340633	0.7
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	15	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Malignant neoplasm of parotid gland"	"C07"	10	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Oropharynx, unspecified - Malignant neoplasms"	"C10.9"	13	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	31	3340633	0.9
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	160	3340633	4.8
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	129	3340633	3.9
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	500	3340633	15.0
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Malignant neoplasm of rectosigmoid junction"	"C19"	58	3340633	1.7
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Malignant neoplasm of rectum"	"C20"	60	3340633	1.8
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	11	3340633	Unreliable
	"Alabama"	"01"	"White"	"2106-3"	"2007"	"2007"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	69	3340633	2.1
