SUMLEV,STATE,REGION,DIVISION,NAME,POPESTIMATE2011,POPEST18PLUS2011,PCNT_POPEST18PLUS
10,0,0,0,United States,311591917,237657645,76.3
40,1,3,6,Alabama,4802740,3675597,76.5
40,2,4,9,Alaska,722718,534277,73.9
40,4,4,8,Arizona,6482505,4857391,74.9
40,5,3,7,Arkansas,2937979,2227505,75.8
40,6,4,9,California,37691912,28419993,75.4
40,8,4,8,Colorado,5116796,3886708,76
40,9,1,1,Connecticut,3580709,2777395,77.6
40,10,3,5,Delaware,907135,702467,77.4
40,11,3,5,District of Columbia,617996,512662,83
40,12,3,5,Florida,19057542,15063111,79
40,13,3,5,Georgia,9815210,7325352,74.6
40,15,4,9,Hawaii,1374810,1070206,77.8
40,16,4,8,Idaho,1584985,1156869,73
40,17,2,3,Illinois,12869257,9771132,75.9
40,18,2,3,Indiana,6516922,4919319,75.5
40,19,2,4,Iowa,3062309,2337939,76.3
40,20,2,4,Kansas,2871238,2147316,74.8
40,21,3,6,Kentucky,4369356,3348401,76.6
40,22,3,7,Louisiana,4574836,3456640,75.6
40,23,1,1,Maine,1328188,1058970,79.7
40,24,3,5,Maryland,5828289,4481654,76.9
40,25,1,1,Massachusetts,6587536,5182521,78.7
40,26,2,3,Michigan,9876187,7580375,76.8
40,27,2,4,Minnesota,5344861,4067335,76.1
40,28,3,6,Mississippi,2978512,2228273,74.8
40,29,2,4,Missouri,6010688,4598567,76.5
40,30,4,8,Montana,998199,775845,77.7
40,31,2,4,Nebraska,1842641,1382576,75
40,32,4,8,Nevada,2723322,2059547,75.6
40,33,1,1,New Hampshire,1318194,1038210,78.8
40,34,1,2,New Jersey,8821155,6778345,76.8
40,35,4,8,New Mexico,2082224,1562805,75.1
40,36,1,2,New York,19465197,15179189,78
40,37,3,5,North Carolina,9656401,7368808,76.3
40,38,2,4,North Dakota,683932,532776,77.9
40,39,2,3,Ohio,11544951,8851859,76.7
40,40,3,7,Oklahoma,3791508,2855349,75.3
40,41,4,9,Oregon,3871859,3008092,77.7
40,42,1,2,Pennsylvania,12742886,9981727,78.3
40,44,1,1,Rhode Island,1051302,831766,79.1
40,45,3,5,South Carolina,4679230,3598675,76.9
40,46,2,4,South Dakota,824082,620926,75.3
40,47,3,6,Tennessee,6403353,4911217,76.7
40,48,3,7,Texas,25674681,18713943,72.9
40,49,4,8,Utah,2817222,1936913,68.8
40,50,1,1,Vermont,626431,500413,79.9
40,51,3,5,Virginia,8096604,6243058,77.1
40,53,4,9,Washington,6830038,5248281,76.8
40,54,3,5,West Virginia,1855364,1470570,79.3
40,55,2,3,Wisconsin,5711767,4385559,76.8
40,56,4,8,Wyoming,568158,433221,76.3
40,72,X,X,Puerto Rico,3706690,2830196,76.4
