STATE,Year,Total murders,Total firearms,Handguns,Rifles,Shotguns,Firearms (type unknown),Knives or cutting instruments,Other weapons,"Hands, fists, feet, etc.",Murder Rate (per 100k),Firearms Rate,Handgun Rate,Rifles Rate,Shotguns Rate,Firearms (type unknown) Rate,Knives or cutting instruments Rate,Other Weapons Rate,"Hands, fists, feet, Rate",HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst,Population Estimate,Homicides per 100k Inhabitants,Est. Homicides,"Deaths, Excluding Firearms",Deaths,Population,"Crude Rate Per 100,000",FIREARM FATAILTIY RATE,FIREARM DEATHS,Guns Owners,Firearm Owners per 100k inhabitants,Homicides per Firearm Owner,Firearms per Homicide,Firearm Owners per Fatality,Firearm / Overall Deaths
Alabama,2000,,,,,,,,,,,,,,,,,,,0.538,0.026,0.616071429,0.760084926,,0.575660014,0.435643214,0.606166292,0.5391565067,4451497,7.4,329.41,"45,062","45,062","4,447,100","1,013.30",,,2400054,53916,0.0001372514272,7286,,
Alaska,2000,,,,,,,,,,,,,,,,,,,0.601,0.035,0.52,0.741071429,,,0.483289686,,0.483289686,627748,4.3,26.99,"2,914","2,914","626,932",464.8,,,303384,48329,0.00008897355198,11239,,
Arizona,2000,,,,,,,,,,,,,,,,,,,0.427,0.026,0.33974359,0.694267516,,0.388875415,0.341518576,0.515357002,0.415250331,5166304,7,361.64,"40,500","40,500","5,130,632",789.4,,,2145309,41525,0.0001685730143,5932,,
Arkansas,2000,,,,,,,,,,,,,,,,,,,0.542,0.029,0.594202899,0.725,,0.612985805,,0.53000985,0.5714978275,2678115,6.3,168.72,"28,217","28,217","2,673,400","1,055.50",,,1530537,57150,0.0001102366395,9071,,
California,2000,,,,,,,,,,,,,,,,,,,0.274,0.026,0.307443366,0.551680136,,0.319309857,0.205961801,0.343543161,0.2896049397,33994383,6.1,2073.66,"229,551","229,551","33,871,648",677.7,,,9844941,28960,0.0002106317664,4748,,
Colorado,2000,,,,,,,,,,,,,,,,,,,0.467,0.026,0.483050847,0.591919192,,0.442700091,0.391228058,0.529318622,0.4544155903,4328277,3.1,134.18,"27,288","27,288","4,301,261",634.4,,,1966837,45442,0.00006821949039,14659,,
Connecticut,2000,,,,,,,,,,,,,,,,,,,0.202,0.026,0.131147541,0.432098765,,0.224730106,0.161331686,0.292297209,0.226119667,3411506,2.9,98.93,"30,129","30,129","3,405,565",884.7,,,771409,22612,0.0001282506753,7797,,
Delaware,2000,,,,,,,,,,,,,,,,,,,0.352,0.028,0.3,0.548387097,,,0.299250901,0.434261842,0.3667563715,786417,3.2,25.17,"6,875","6,875","783,600",877.4,,,288423,36676,0.00008725138126,11461,,
Florida,2000,,,,,,,,,,,,,,,,,,,0.32,0.026,0.401425178,0.610810811,,0.352762619,0.259113155,0.363416605,0.3250974597,16046148,5.6,898.58,"164,395","164,395","15,982,378","1,028.60",,,5216562,32510,0.0001722560369,5805,,
Georgia,2000,,,,,,,,,,,,,,,,,,,0.467,0.026,0.541436464,0.735735736,,0.508021116,0.359249353,0.514052648,0.460441039,8230306,8,658.42,"63,870","63,870","8,186,453",780.2,,,3789571,46044,0.0001737464588,5756,,
