Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,10.4,Alabama
1997,9.9,Alabama
1998,8.1,Alabama
1999,7.9,Alabama
2000,7.4,Alabama
1995,11.2,Alabama
2015,7.2,Alabama
1989,10.2,Alabama
1990,11.6,Alabama
1991,11.5,Alabama
1992,11,Alabama
1993,11.6,Alabama
1994,11.9,Alabama
2017,8.6,Alabama
2001,8.5,Alabama
2002,6.8,Alabama
2003,6.6,Alabama
2004,5.6,Alabama
2005,8.2,Alabama
2006,8.3,Alabama
2007,8.9,Alabama
2008,7.5,Alabama
2009,6.8,Alabama
2010,5.7,Alabama
2011,6.2,Alabama
2012,7.1,Alabama
2013,7.2,Alabama
2014,5.7,Alabama
2016,8.4,Alabama
2018,7.8,Alabama
2019,7.3,Alabama
