Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2004,5.6,Alaska
2005,4.8,Alaska
2006,5.4,Alaska
2007,6.3,Alaska
2008,3.9,Alaska
2009,3.1,Alaska
2010,4.3,Alaska
2011,4.1,Alaska
1995,9.1,Alaska
2012,4.1,Alaska
2015,8,Alaska
2013,4.6,Alaska
2014,5.6,Alaska
1989,8,Alaska
1990,7.5,Alaska
1991,7.4,Alaska
1992,7.5,Alaska
1993,9,Alaska
1994,6.3,Alaska
2017,8.4,Alaska
1996,7.4,Alaska
1997,8.9,Alaska
1998,6.7,Alaska
1999,8.4,Alaska
2000,4.3,Alaska
2001,6.2,Alaska
2002,5.1,Alaska
2003,6,Alaska
2016,7,Alaska
2018,6.4,Alaska
2019,9.4,Alaska
