Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1989,6.7,Arizona
2014,4.6,Arizona
2013,5.4,Arizona
1990,7.7,Arizona
1991,7.8,Arizona
1994,10.5,Arizona
1995,10.4,Arizona
1996,8.5,Arizona
1997,8.2,Arizona
2015,4.5,Arizona
1992,8.1,Arizona
1993,8.6,Arizona
2017,6,Arizona
1998,8.1,Arizona
1999,8,Arizona
2000,7,Arizona
2001,7.5,Arizona
2002,7.1,Arizona
2003,7.9,Arizona
2004,7.2,Arizona
2005,7.5,Arizona
2006,8.6,Arizona
2007,8.6,Arizona
2008,7.1,Arizona
2009,5.8,Arizona
2010,6.4,Arizona
2011,6.1,Arizona
2012,5.5,Arizona
2016,5.6,Arizona
2018,5.4,Arizona
2019,5,Arizona
