Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,8.3,Arkansas
1998,7.9,Arkansas
1999,5.6,Arkansas
2000,6.3,Arkansas
2001,5.5,Arkansas
2002,5.2,Arkansas
2003,6.6,Arkansas
2004,6.4,Arkansas
2005,6.8,Arkansas
2008,5.8,Arkansas
2009,6.2,Arkansas
2006,7.3,Arkansas
2007,7,Arkansas
2010,4.6,Arkansas
2011,5.4,Arkansas
2012,5.9,Arkansas
1995,10.4,Arkansas
2015,6.3,Arkansas
2013,5.3,Arkansas
2014,5.9,Arkansas
1989,8.4,Arkansas
1990,10.3,Arkansas
1991,11.1,Arkansas
1992,10.8,Arkansas
1993,10.2,Arkansas
1994,12,Arkansas
1996,8.7,Arkansas
1997,9.9,Arkansas
2016,7.3,Arkansas
2018,7.4,Arkansas
2019,8,Arkansas
