Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2000,6.1,California
2001,6.4,California
2014,4.4,California
1996,9.1,California
1997,8,California
1998,6.6,California
1999,6,California
2002,6.8,California
2003,6.8,California
2004,6.7,California
2005,6.9,California
2006,6.8,California
2007,6.2,California
2008,5.8,California
1995,11.2,California
2015,4.8,California
1989,10.9,California
1990,11.9,California
1991,12.7,California
1992,12.7,California
1993,13.1,California
1994,11.8,California
2017,4.6,California
2009,5.3,California
2010,4.8,California
2011,4.8,California
2012,5,California
2013,4.5,California
2016,4.9,California
2018,4.4,California
2019,4.3,California
