Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2001,3.6,Colorado
2002,4,Colorado
2000,3.1,Colorado
2009,3.2,Colorado
2010,2.6,Colorado
1995,5.8,Colorado
2015,3.2,Colorado
2014,2.8,Colorado
1989,4.4,Colorado
1990,4.2,Colorado
1991,5.9,Colorado
1992,6.2,Colorado
1993,5.8,Colorado
1994,5.4,Colorado
2017,4,Colorado
1996,4.7,Colorado
2004,4.4,Colorado
1997,4,Colorado
2012,2.9,Colorado
2003,4.1,Colorado
2005,3.7,Colorado
2006,3.6,Colorado
2007,3.2,Colorado
2008,3.3,Colorado
2013,3.3,Colorado
2011,3,Colorado
1998,4.6,Colorado
1999,4.6,Colorado
2016,3.4,Colorado
2018,3.8,Colorado
2019,3.8,Colorado
