Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2005,3,Connecticut
2006,3.9,Connecticut
2002,2.4,Connecticut
2003,3.2,Connecticut
2004,2.9,Connecticut
2007,3.2,Connecticut
2008,3.8,Connecticut
2009,3,Connecticut
1995,4.6,Connecticut
2015,3.2,Connecticut
2013,2.5,Connecticut
2014,2.5,Connecticut
1989,5.9,Connecticut
1990,5.1,Connecticut
1991,5.7,Connecticut
1992,5.1,Connecticut
1993,6.3,Connecticut
1994,6.6,Connecticut
1996,4.8,Connecticut
2017,2.9,Connecticut
2010,3.7,Connecticut
2011,3.6,Connecticut
2012,3.3,Connecticut
1997,3.8,Connecticut
1998,4.1,Connecticut
1999,3.3,Connecticut
2000,2.9,Connecticut
2001,3.1,Connecticut
2016,2.2,Connecticut
2018,2.4,Connecticut
2019,2.9,Connecticut
