Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2007,4.5,Delaware
2002,3.2,Delaware
2006,4.9,Delaware
2008,6.5,Delaware
2009,4.6,Delaware
2010,5.7,Delaware
1995,3.5,Delaware
2015,6.6,Delaware
1989,5.1,Delaware
1990,5,Delaware
1991,5.4,Delaware
1992,4.6,Delaware
1993,5,Delaware
1994,4.7,Delaware
2017,5.3,Delaware
2011,5.3,Delaware
2012,6.1,Delaware
2013,4.4,Delaware
1996,4.3,Delaware
1997,3,Delaware
1998,2.8,Delaware
1999,3.2,Delaware
2000,3.2,Delaware
2001,2.9,Delaware
2014,5.3,Delaware
2004,3.4,Delaware
2005,4.4,Delaware
2003,2.6,Delaware
2016,6.1,Delaware
2018,4.8,Delaware
2019,4.9,Delaware
