Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2005,33.5,District Of Columbia
2004,35.7,District Of Columbia
1995,65,District Of Columbia
2015,24.2,District Of Columbia
2006,29.1,District Of Columbia
2007,30.8,District Of Columbia
2013,15.9,District Of Columbia
2014,15.9,District Of Columbia
1989,71.9,District Of Columbia
1990,77.8,District Of Columbia
1991,80.6,District Of Columbia
1992,75.2,District Of Columbia
1993,78.5,District Of Columbia
1994,70,District Of Columbia
2019,23.5,District Of Columbia
2017,16.7,District Of Columbia
1996,73.1,District Of Columbia
1997,56.9,District Of Columbia
1998,49.7,District Of Columbia
1999,46.4,District Of Columbia
2008,31.4,District Of Columbia
2009,24.2,District Of Columbia
2010,21.8,District Of Columbia
2011,17.4,District Of Columbia
2012,13.9,District Of Columbia
2000,41.8,District Of Columbia
2001,40.3,District Of Columbia
2002,46.4,District Of Columbia
2003,44.7,District Of Columbia
2016,19.9,District Of Columbia
2018,22.8,District Of Columbia
