Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1997,6.9,Florida
2013,5,Florida
2014,4.9,Florida
2000,5.6,Florida
2001,5.3,Florida
2002,5.5,Florida
2003,5.4,Florida
2005,5,Florida
1995,7.3,Florida
2015,5.1,Florida
1989,11.1,Florida
1990,10.7,Florida
1991,9.4,Florida
1992,9,Florida
1993,8.9,Florida
1994,8.3,Florida
2018,5.2,Florida
2019,5.2,Florida
2017,5,Florida
1996,7.5,Florida
1998,6.5,Florida
1999,5.7,Florida
2006,6.2,Florida
2007,6.6,Florida
2008,6.4,Florida
2009,5.5,Florida
2010,5.2,Florida
2011,5.2,Florida
2012,5.2,Florida
2004,5.4,Florida
2016,5.4,Florida
