Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1998,2,Hawaii
1999,3.7,Hawaii
2000,2.9,Hawaii
2001,2.6,Hawaii
2002,1.9,Hawaii
2003,1.8,Hawaii
2004,2.6,Hawaii
2005,1.9,Hawaii
2006,1.6,Hawaii
2007,1.9,Hawaii
2008,2,Hawaii
2009,1.8,Hawaii
2010,1.8,Hawaii
2011,1.5,Hawaii
2012,1.5,Hawaii
1995,4.7,Hawaii
2013,2.3,Hawaii
2014,1.4,Hawaii
1989,4.8,Hawaii
1990,4,Hawaii
1991,4,Hawaii
1992,3.6,Hawaii
1993,3.8,Hawaii
1994,4.2,Hawaii
2017,2.7,Hawaii
1996,3.4,Hawaii
1997,4,Hawaii
2016,2.4,Hawaii
2015,1.3,Hawaii
2018,2.8,Hawaii
2019,3.4,Hawaii
