Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2010,1.4,Idaho
2011,2.2,Idaho
2012,1.9,Idaho
1996,3.6,Idaho
1997,3.2,Idaho
1998,2.9,Idaho
1999,2,Idaho
2000,1.2,Idaho
2001,2.3,Idaho
2002,2.7,Idaho
2003,1.9,Idaho
2004,2.2,Idaho
2005,2.4,Idaho
2006,2.4,Idaho
2007,3.3,Idaho
2008,1.5,Idaho
2009,1.6,Idaho
1995,4.1,Idaho
2015,1.9,Idaho
2013,1.8,Idaho
2014,2,Idaho
1989,2.6,Idaho
1990,2.7,Idaho
1991,1.8,Idaho
1992,3.5,Idaho
1993,2.9,Idaho
1994,3.5,Idaho
2017,2.4,Idaho
2016,2.9,Idaho
2018,1.9,Idaho
2019,2,Idaho
