Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,10,Illinois
1997,9.2,Illinois
1998,8.4,Illinois
1999,7.7,Illinois
2000,7.2,Illinois
2001,7.8,Illinois
2002,7.6,Illinois
2003,7.1,Illinois
2010,5.5,Illinois
2011,6.1,Illinois
2012,6,Illinois
2007,5.9,Illinois
2008,6.1,Illinois
2009,6,Illinois
2004,6.1,Illinois
2005,6,Illinois
2006,6.1,Illinois
1995,10.3,Illinois
2015,5.9,Illinois
2013,5.6,Illinois
2014,5.4,Illinois
1989,9,Illinois
1990,10.3,Illinois
1991,11.3,Illinois
1992,11.4,Illinois
1993,11.4,Illinois
1994,11.7,Illinois
2017,7.7,Illinois
2016,8.3,Illinois
2018,7.1,Illinois
2019,6.6,Illinois
