Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,7.2,Indiana
1997,7.3,Indiana
1998,7.7,Indiana
1999,6.6,Indiana
2000,5.8,Indiana
2001,6.7,Indiana
2002,5.9,Indiana
2003,5.5,Indiana
2004,5.1,Indiana
2005,5.7,Indiana
2009,4.9,Indiana
2006,5.7,Indiana
2007,5.5,Indiana
2008,5,Indiana
2010,4.1,Indiana
2011,4.7,Indiana
2012,4.7,Indiana
2014,5,Indiana
1995,8,Indiana
2015,5.6,Indiana
2013,5.4,Indiana
1989,6.3,Indiana
1990,6.2,Indiana
1991,7.5,Indiana
1992,8.2,Indiana
1993,7.5,Indiana
1994,7.9,Indiana
2017,6.2,Indiana
2016,6.5,Indiana
2018,6.2,Indiana
2019,5.6,Indiana
