Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1997,1.8,Iowa
2001,1.7,Iowa
2002,1.5,Iowa
2003,1.7,Iowa
2004,1.5,Iowa
2005,1.3,Iowa
2012,1.6,Iowa
2009,1.3,Iowa
1998,1.9,Iowa
1999,1.5,Iowa
2000,1.6,Iowa
2014,1.9,Iowa
1996,1.9,Iowa
1995,1.8,Iowa
2015,2.3,Iowa
2013,1.3,Iowa
1989,1.9,Iowa
1990,1.9,Iowa
1991,2,Iowa
1992,1.6,Iowa
1993,2.3,Iowa
1994,1.7,Iowa
2017,3.1,Iowa
2010,1.2,Iowa
2006,1.8,Iowa
2007,1.3,Iowa
2008,2.6,Iowa
2011,1.4,Iowa
2016,2.3,Iowa
2018,2.2,Iowa
2019,1.9,Iowa
