Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1997,5.8,Kansas
2006,4.5,Kansas
2007,3.8,Kansas
2008,4,Kansas
2009,4.4,Kansas
2010,3.4,Kansas
2011,3.9,Kansas
2012,2.9,Kansas
1998,6.6,Kansas
1995,6.2,Kansas
2015,4.3,Kansas
2013,4,Kansas
1989,5.5,Kansas
1990,4,Kansas
1991,6.1,Kansas
1992,6,Kansas
1993,6.4,Kansas
1994,6.7,Kansas
2017,4.6,Kansas
2014,3.2,Kansas
1996,6.6,Kansas
1999,6,Kansas
2000,6.3,Kansas
2001,3.4,Kansas
2002,2.9,Kansas
2003,4.6,Kansas
2004,4.5,Kansas
2005,3.7,Kansas
2016,4.5,Kansas
2018,4.2,Kansas
2019,3.6,Kansas
