Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2010,4.3,Kentucky
2011,3.5,Kentucky
2012,4.6,Kentucky
2008,4.7,Kentucky
1995,7.2,Kentucky
2009,4.3,Kentucky
1996,5.9,Kentucky
1997,5.8,Kentucky
1998,6,Kentucky
1999,5.1,Kentucky
2000,4.8,Kentucky
2001,4.4,Kentucky
2002,4.7,Kentucky
2003,4.4,Kentucky
2014,3.7,Kentucky
2004,5.7,Kentucky
2005,4.6,Kentucky
2006,4.1,Kentucky
2007,4.9,Kentucky
2015,4.9,Kentucky
1989,7.9,Kentucky
1990,7.2,Kentucky
1991,6.8,Kentucky
1992,5.8,Kentucky
1993,6.6,Kentucky
1994,6.4,Kentucky
2017,5.9,Kentucky
2013,3.9,Kentucky
2016,6,Kentucky
2018,5.6,Kentucky
2019,4.9,Kentucky
