Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1998,12.8,Louisiana
1999,10.7,Louisiana
2009,11.8,Louisiana
2010,11,Louisiana
1996,17.5,Louisiana
2002,13.2,Louisiana
2003,13,Louisiana
2004,12.7,Louisiana
2005,10,Louisiana
2006,12.9,Louisiana
2007,14.6,Louisiana
2008,12.3,Louisiana
2011,11.1,Louisiana
2012,10.6,Louisiana
2013,10.7,Louisiana
1995,17,Louisiana
2015,10.5,Louisiana
2014,10.2,Louisiana
1989,14.9,Louisiana
1990,17.2,Louisiana
1991,16.9,Louisiana
1992,17.4,Louisiana
1993,20.3,Louisiana
1994,19.8,Louisiana
2017,12.3,Louisiana
1997,15.7,Louisiana
2000,12.5,Louisiana
2001,11.2,Louisiana
2016,11.8,Louisiana
2018,11.4,Louisiana
2019,11.7,Louisiana
