Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1998,2.1,Maine
2009,2,Maine
2010,1.8,Maine
2011,2,Maine
2005,1.4,Maine
2006,1.7,Maine
2007,1.5,Maine
1996,2,Maine
1997,2,Maine
1999,2,Maine
2000,1.2,Maine
2001,1.5,Maine
2002,1.1,Maine
2003,1.2,Maine
2004,1.4,Maine
2008,2.4,Maine
2012,2,Maine
2014,1.6,Maine
1995,2,Maine
2015,1.7,Maine
2013,1.8,Maine
1989,3.2,Maine
1990,2.4,Maine
1991,1.2,Maine
1992,1.7,Maine
1993,1.6,Maine
1994,2.3,Maine
2017,1.7,Maine
2016,1.5,Maine
2018,1.7,Maine
2019,1.5,Maine
