Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2014,6.1,Maryland
2003,9.5,Maryland
2005,9.9,Maryland
2006,9.7,Maryland
2007,9.9,Maryland
1996,11.6,Maryland
1997,9.9,Maryland
1998,10,Maryland
1999,9,Maryland
2000,8.1,Maryland
2001,8.3,Maryland
2002,9.4,Maryland
2009,7.7,Maryland
2011,6.8,Maryland
2012,6.3,Maryland
1995,11.8,Maryland
2015,9,Maryland
2013,6.5,Maryland
1989,11.6,Maryland
1990,11.5,Maryland
1991,11.7,Maryland
1992,12.1,Maryland
1993,12.7,Maryland
1994,11.6,Maryland
2017,9.3,Maryland
2004,9.4,Maryland
2008,8.8,Maryland
2010,7.4,Maryland
2016,8.9,Maryland
2018,8.1,Maryland
2019,9,Maryland
