Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2005,2.8,Massachusetts
2006,2.9,Massachusetts
2011,2.8,Massachusetts
2012,1.8,Massachusetts
1996,2.6,Massachusetts
1997,1.9,Massachusetts
2000,2,Massachusetts
2001,2.2,Massachusetts
2002,2.7,Massachusetts
2003,2.2,Massachusetts
2007,2.9,Massachusetts
2008,2.6,Massachusetts
2009,2.6,Massachusetts
2010,3.3,Massachusetts
2014,2,Massachusetts
2013,2.1,Massachusetts
1998,2,Massachusetts
1999,2,Massachusetts
1995,3.6,Massachusetts
2015,1.9,Massachusetts
1989,4.3,Massachusetts
1990,4,Massachusetts
1991,4.2,Massachusetts
1992,3.6,Massachusetts
1993,3.9,Massachusetts
1994,3.5,Massachusetts
2017,2.5,Massachusetts
2004,2.7,Massachusetts
2016,2,Massachusetts
2018,2,Massachusetts
2019,2.2,Massachusetts
