Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2014,5.5,Michigan
2009,6.2,Michigan
1996,7.5,Michigan
1999,7,Michigan
1997,7.8,Michigan
1998,7.3,Michigan
2000,6.7,Michigan
2001,6.7,Michigan
2004,6.4,Michigan
2005,6.2,Michigan
2006,7.1,Michigan
2007,6.6,Michigan
2008,5.5,Michigan
2010,5.9,Michigan
2011,6.2,Michigan
2012,7.1,Michigan
1995,8.5,Michigan
2015,5.9,Michigan
2013,6.3,Michigan
1989,10.7,Michigan
1990,10.4,Michigan
1991,10.8,Michigan
1992,9.9,Michigan
1993,9.8,Michigan
1994,9.8,Michigan
2017,5.7,Michigan
2002,6.8,Michigan
2003,6.1,Michigan
2016,6.2,Michigan
2018,5.6,Michigan
2019,5.6,Michigan
