Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2009,1.4,Minnesota
1996,3.6,Minnesota
1997,2.8,Minnesota
1998,2.6,Minnesota
1999,2.8,Minnesota
2000,3.1,Minnesota
2001,2.4,Minnesota
2002,2.2,Minnesota
2003,2.5,Minnesota
2004,2.2,Minnesota
2005,2.2,Minnesota
2006,2.4,Minnesota
2007,2.2,Minnesota
2008,2.1,Minnesota
2010,1.8,Minnesota
2011,1.4,Minnesota
2012,1.8,Minnesota
1995,3.9,Minnesota
2015,2.4,Minnesota
2013,2.1,Minnesota
2014,1.6,Minnesota
1989,2.5,Minnesota
1990,2.7,Minnesota
1991,3,Minnesota
1992,3.3,Minnesota
1993,3.4,Minnesota
1994,3.2,Minnesota
2017,2,Minnesota
2016,1.8,Minnesota
2018,1.9,Minnesota
2019,2.1,Minnesota
