Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1997,13.1,Mississippi
2012,7.1,Mississippi
1998,11.4,Mississippi
1999,7.7,Mississippi
2000,9,Mississippi
2001,9.9,Mississippi
2002,9.2,Mississippi
2003,9.3,Mississippi
2004,7.8,Mississippi
2005,7.4,Mississippi
2006,7.9,Mississippi
2007,6.9,Mississippi
2008,8,Mississippi
2009,6.6,Mississippi
2010,6.9,Mississippi
2011,7.8,Mississippi
1995,12.9,Mississippi
2015,8.5,Mississippi
2013,7.3,Mississippi
2014,8.7,Mississippi
2017,6.4,Mississippi
1996,11.1,Mississippi
2016,7.9,Mississippi
2018,7.2,Mississippi
2019,11.2,Mississippi
