Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2004,6.1,Missouri
2005,6.9,Missouri
2006,6.3,Missouri
2007,6.2,Missouri
2010,7,Missouri
2011,6.1,Missouri
2012,6.5,Missouri
2013,6.1,Missouri
2014,6.7,Missouri
1996,8.1,Missouri
2003,5.1,Missouri
1997,7.9,Missouri
1998,7.3,Missouri
1999,6.6,Missouri
2000,6.2,Missouri
2001,6.6,Missouri
2002,5.8,Missouri
1995,8.8,Missouri
1989,7.9,Missouri
1990,8.8,Missouri
1991,10.5,Missouri
1992,10.5,Missouri
1993,11.3,Missouri
1994,10.5,Missouri
2017,9.8,Missouri
2015,8.3,Missouri
2008,7.7,Missouri
2009,6.5,Missouri
2016,8.8,Missouri
2018,9.8,Missouri
2019,9.3,Missouri
