Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,3.9,Montana
1997,4.8,Montana
1998,2,Montana
1999,2.5,Montana
2000,2.2,Montana
2001,3.8,Montana
2002,1.8,Montana
2003,3.3,Montana
2004,3.2,Montana
2005,1.9,Montana
2006,3.5,Montana
2007,2.8,Montana
2008,4.1,Montana
2009,3.3,Montana
2010,2.5,Montana
2012,2.9,Montana
2011,2.9,Montana
2013,2.3,Montana
2014,3.7,Montana
1995,4,Montana
2015,3.7,Montana
1989,2.9,Montana
1990,4.9,Montana
1991,2.6,Montana
1992,2.9,Montana
1993,3,Montana
1994,3.3,Montana
2017,3.9,Montana
2016,3.6,Montana
2018,3.5,Montana
2019,2.5,Montana
