Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2005,2.5,Nebraska
1996,2.9,Nebraska
1997,3,Nebraska
1998,3.1,Nebraska
1999,3.6,Nebraska
2000,3.7,Nebraska
2001,2.5,Nebraska
2002,2.8,Nebraska
2006,2.9,Nebraska
2007,4,Nebraska
2008,3.9,Nebraska
2009,2.3,Nebraska
2010,3,Nebraska
2011,3.7,Nebraska
2013,3,Nebraska
2012,2.8,Nebraska
2003,3.2,Nebraska
2004,2.3,Nebraska
1995,2.9,Nebraska
2015,3.3,Nebraska
2014,2.8,Nebraska
1989,2.5,Nebraska
1990,2.7,Nebraska
1991,3.3,Nebraska
1992,4.2,Nebraska
1993,3.9,Nebraska
1994,3.1,Nebraska
2017,2.2,Nebraska
2016,2.6,Nebraska
2018,2.3,Nebraska
2019,2.3,Nebraska
