Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,13.7,Nevada
1997,11.2,Nevada
2009,5.9,Nevada
2010,5.8,Nevada
2000,6.5,Nevada
2001,8.6,Nevada
2002,8.4,Nevada
2003,8.8,Nevada
2004,7.4,Nevada
2005,8.5,Nevada
2006,9.1,Nevada
2007,7.5,Nevada
2008,6.3,Nevada
2011,5.1,Nevada
2012,4.5,Nevada
2013,5.8,Nevada
1999,9.1,Nevada
2014,6,Nevada
1995,10.7,Nevada
2015,6.2,Nevada
1989,8.2,Nevada
1990,9.7,Nevada
1991,11.8,Nevada
1992,10.9,Nevada
1993,10.4,Nevada
1994,11.7,Nevada
2017,8.9,Nevada
1998,9.7,Nevada
2016,7.8,Nevada
2018,6.7,Nevada
2019,4.6,Nevada
