Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2007,0.9,New Hampshire
2010,1,New Hampshire
2011,1.2,New Hampshire
2013,1.6,New Hampshire
1996,1.7,New Hampshire
1997,1.4,New Hampshire
1998,1.5,New Hampshire
1999,1.5,New Hampshire
2004,1.3,New Hampshire
2005,1.5,New Hampshire
2006,1,New Hampshire
2008,1.1,New Hampshire
2009,0.8,New Hampshire
2012,1.1,New Hampshire
2014,1.2,New Hampshire
2000,1.8,New Hampshire
2001,1.3,New Hampshire
2002,0.9,New Hampshire
2003,1.3,New Hampshire
1995,1.8,New Hampshire
2015,1.1,New Hampshire
1989,3.3,New Hampshire
1990,1.9,New Hampshire
1991,3.6,New Hampshire
1992,1.6,New Hampshire
1993,2,New Hampshire
1994,1.4,New Hampshire
2017,1,New Hampshire
2016,1.4,New Hampshire
2018,1.6,New Hampshire
2019,2.4,New Hampshire
