Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2003,4.7,New Jersey
2004,4.5,New Jersey
2010,4.2,New Jersey
2005,4.8,New Jersey
2012,4.4,New Jersey
2011,4.3,New Jersey
1996,4.2,New Jersey
1997,4.2,New Jersey
1998,4,New Jersey
1999,3.5,New Jersey
2000,3.4,New Jersey
2001,3.9,New Jersey
2002,4,New Jersey
2006,4.9,New Jersey
2007,4.4,New Jersey
2008,4.3,New Jersey
2009,3.7,New Jersey
1995,5.1,New Jersey
2013,4.5,New Jersey
2014,3.9,New Jersey
1989,5.1,New Jersey
1990,5.6,New Jersey
1991,5.2,New Jersey
1992,5.1,New Jersey
1993,5.3,New Jersey
1994,5,New Jersey
2017,3.6,New Jersey
2015,4.1,New Jersey
2016,4.2,New Jersey
2018,3.2,New Jersey
2019,2.9,New Jersey
