Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,7.4,New York
1997,6,New York
1998,5.1,New York
1999,5,New York
2000,5,New York
2001,5,New York
2002,4.8,New York
2003,4.9,New York
2004,4.6,New York
2005,4.5,New York
2006,4.8,New York
2007,4.2,New York
2008,4.3,New York
2009,4,New York
2010,4.5,New York
2011,3.9,New York
2012,3.5,New York
1995,8.5,New York
2015,3.1,New York
2013,3.3,New York
2014,3.1,New York
1989,12.5,New York
1990,14.5,New York
1991,14.2,New York
1992,13.2,New York
1993,13.3,New York
1994,11.1,New York
2017,2.8,New York
2016,3.2,New York
2018,2.9,New York
2019,2.9,New York
