Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,8.5,North Carolina
1997,8.3,North Carolina
1998,8.1,North Carolina
1999,7.2,North Carolina
2000,7,North Carolina
2001,6.2,North Carolina
2002,6.6,North Carolina
2003,6,North Carolina
2004,6.2,North Carolina
2005,6.7,North Carolina
2006,6.1,North Carolina
2007,6.4,North Carolina
2008,6.5,North Carolina
2009,5.2,North Carolina
2010,5,North Carolina
2011,5.2,North Carolina
2012,4.9,North Carolina
2013,4.7,North Carolina
2014,5,North Carolina
1995,9.4,North Carolina
2015,5.2,North Carolina
1989,8.9,North Carolina
1990,10.7,North Carolina
1991,11.4,North Carolina
1992,10.6,North Carolina
1993,11.3,North Carolina
1994,10.9,North Carolina
2017,6.1,North Carolina
2016,6.7,North Carolina
2018,5.5,North Carolina
2019,6,North Carolina
