Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,2.2,North Dakota
1997,0.9,North Dakota
1998,1.1,North Dakota
1999,1.6,North Dakota
2000,0.6,North Dakota
2001,1.1,North Dakota
2002,0.8,North Dakota
2003,1.4,North Dakota
2004,1.3,North Dakota
2005,1.9,North Dakota
2006,2.2,North Dakota
2007,2.7,North Dakota
2008,1.7,North Dakota
2009,1.9,North Dakota
2010,1.5,North Dakota
2011,3.5,North Dakota
2012,3.6,North Dakota
2014,3.1,North Dakota
1995,0.9,North Dakota
2015,2.8,North Dakota
2013,2.2,North Dakota
1989,0.6,North Dakota
1990,0.8,North Dakota
1991,1.1,North Dakota
1992,1.9,North Dakota
1993,1.7,North Dakota
1994,0.2,North Dakota
2017,1.3,North Dakota
2016,2.1,North Dakota
2018,2.4,North Dakota
2019,3.1,North Dakota
