Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2005,5.1,Ohio
1997,4.7,Ohio
1998,4,Ohio
1999,3.5,Ohio
2000,3.7,Ohio
2001,4,Ohio
2002,4.6,Ohio
2003,4.6,Ohio
2004,4.4,Ohio
2006,4.9,Ohio
2007,4.6,Ohio
2008,4.8,Ohio
2009,4.6,Ohio
2010,4.2,Ohio
2011,4.3,Ohio
2012,4.1,Ohio
1996,4.8,Ohio
1995,5.4,Ohio
2015,4.5,Ohio
2013,4.1,Ohio
2014,4,Ohio
1989,6,Ohio
1990,6.1,Ohio
1991,7.2,Ohio
1992,6.6,Ohio
1993,6,Ohio
1994,6,Ohio
2017,6.4,Ohio
2016,5.9,Ohio
2018,5.1,Ohio
2019,4.6,Ohio
