Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,6.8,Oklahoma
1997,6.9,Oklahoma
1998,6.1,Oklahoma
1999,6.9,Oklahoma
2000,5.3,Oklahoma
2001,5.3,Oklahoma
2002,4.7,Oklahoma
2003,5.9,Oklahoma
2004,5.3,Oklahoma
2005,5.3,Oklahoma
2006,5.9,Oklahoma
2007,6.2,Oklahoma
2008,5.9,Oklahoma
2009,6.3,Oklahoma
2010,5.2,Oklahoma
2011,5.6,Oklahoma
2012,5.8,Oklahoma
2013,5.1,Oklahoma
2014,4.6,Oklahoma
1995,12.2,Oklahoma
2015,6.1,Oklahoma
1989,6.5,Oklahoma
1990,8,Oklahoma
1991,7.2,Oklahoma
1992,6.5,Oklahoma
1993,8.4,Oklahoma
1994,6.9,Oklahoma
2017,6.2,Oklahoma
2016,6.3,Oklahoma
2018,5.5,Oklahoma
2019,6.7,Oklahoma
