Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,4,Oregon
1998,3.8,Oregon
1999,2.7,Oregon
2001,2.4,Oregon
2002,2,Oregon
2003,1.9,Oregon
2004,2.5,Oregon
2005,2.2,Oregon
2006,2.4,Oregon
2007,2,Oregon
2008,2.3,Oregon
2009,2.3,Oregon
2010,2.5,Oregon
2011,2.2,Oregon
2012,2.3,Oregon
2014,2.1,Oregon
2000,2,Oregon
1995,4.1,Oregon
2015,2.7,Oregon
2013,2.1,Oregon
1989,4.8,Oregon
1990,3.8,Oregon
1991,4.6,Oregon
1992,4.7,Oregon
1993,4.6,Oregon
1994,4.9,Oregon
1997,2.9,Oregon
2017,2.5,Oregon
2016,2.8,Oregon
2018,2.1,Oregon
2019,2.8,Oregon
