Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,5.7,Pennsylvania
1997,5.9,Pennsylvania
1998,5.3,Pennsylvania
1999,4.9,Pennsylvania
2000,4.9,Pennsylvania
2001,5.3,Pennsylvania
2002,5.1,Pennsylvania
2003,5.2,Pennsylvania
2004,5.2,Pennsylvania
2005,6.1,Pennsylvania
2006,6,Pennsylvania
2007,5.8,Pennsylvania
2008,5.7,Pennsylvania
2009,5.3,Pennsylvania
2010,5.1,Pennsylvania
2011,5,Pennsylvania
2012,5.5,Pennsylvania
1995,6.3,Pennsylvania
2015,5.2,Pennsylvania
2013,4.8,Pennsylvania
2014,4.8,Pennsylvania
1989,6.3,Pennsylvania
1990,6.7,Pennsylvania
1991,6.3,Pennsylvania
1992,6.2,Pennsylvania
1993,6.8,Pennsylvania
1994,5.9,Pennsylvania
2017,5.8,Pennsylvania
2016,5.3,Pennsylvania
2018,6.1,Pennsylvania
2019,5.2,Pennsylvania
