Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,9,South Carolina
1997,8.4,South Carolina
1998,8,South Carolina
1999,6.6,South Carolina
2000,7.3,South Carolina
2001,8.1,South Carolina
2002,7.3,South Carolina
2003,7.3,South Carolina
2004,6.8,South Carolina
2005,7.4,South Carolina
2006,8.4,South Carolina
2007,8.3,South Carolina
2008,6.9,South Carolina
2009,6.7,South Carolina
2010,5.7,South Carolina
2011,6.8,South Carolina
2012,7,South Carolina
1995,7.9,South Carolina
2015,8.3,South Carolina
2013,6.4,South Carolina
2014,6.7,South Carolina
1989,9.1,South Carolina
1990,11.2,South Carolina
1991,11.3,South Carolina
1992,10.4,South Carolina
1993,10.3,South Carolina
1994,9.6,South Carolina
2017,7.6,South Carolina
2016,7.2,South Carolina
2018,8.1,South Carolina
2019,9,South Carolina
