Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,1.2,South Dakota
1997,1.4,South Dakota
1998,1.4,South Dakota
1999,2.5,South Dakota
2001,0.9,South Dakota
2002,1.4,South Dakota
2003,1.3,South Dakota
2000,0.9,South Dakota
2004,2.2,South Dakota
2005,2.3,South Dakota
2006,3.8,South Dakota
2007,3.9,South Dakota
2008,4.6,South Dakota
2009,3.7,South Dakota
2010,2.8,South Dakota
2011,2.4,South Dakota
2012,2.8,South Dakota
2014,2.7,South Dakota
1995,1.8,South Dakota
2015,3.8,South Dakota
2013,2.1,South Dakota
1989,1.3,South Dakota
1990,2,South Dakota
1991,1.7,South Dakota
1992,0.6,South Dakota
1993,3.4,South Dakota
1994,1.4,South Dakota
2017,3.1,South Dakota
2016,3.2,South Dakota
2018,1.4,South Dakota
2019,1.9,South Dakota
