Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,9.5,Tennessee
1997,9.5,Tennessee
1998,8.5,Tennessee
1999,7.1,Tennessee
2000,7.2,Tennessee
2001,7.4,Tennessee
2002,7.3,Tennessee
2003,6.8,Tennessee
2004,6.1,Tennessee
2005,7.2,Tennessee
2006,6.9,Tennessee
2007,6.6,Tennessee
2008,6.6,Tennessee
2009,7.4,Tennessee
2010,5.6,Tennessee
2011,5.9,Tennessee
2012,6.2,Tennessee
2013,5.2,Tennessee
2014,5.6,Tennessee
1995,10.6,Tennessee
2015,6.3,Tennessee
1989,8.4,Tennessee
1990,10.5,Tennessee
1991,11,Tennessee
1992,10.4,Tennessee
1993,10.2,Tennessee
1994,9.3,Tennessee
2017,8,Tennessee
2016,7.4,Tennessee
2018,7.5,Tennessee
2019,7.3,Tennessee
