Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,5,Texas
1996,7.7,Texas
1997,6.8,Texas
1998,6.8,Texas
1999,6.1,Texas
2000,5.9,Texas
2001,6.2,Texas
2002,6,Texas
2003,6.4,Texas
2004,6.1,Texas
2005,6.1,Texas
2006,5.9,Texas
2007,5.9,Texas
2008,5.6,Texas
2009,5.4,Texas
2010,4.9,Texas
2011,4.4,Texas
2012,4.4,Texas
1995,9,Texas
2015,4.8,Texas
2013,4.3,Texas
2014,4.4,Texas
1989,11.9,Texas
1990,14.1,Texas
1991,15.3,Texas
1992,12.7,Texas
1993,11.9,Texas
1994,11,Texas
2016,5.3,Texas
2018,4.6,Texas
2019,4.9,Texas
