Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1996,3.2,Utah
2005,2.2,Utah
2017,2.4,Utah
1998,3.1,Utah
1999,2.1,Utah
2000,1.9,Utah
2006,2,Utah
2007,2.2,Utah
2008,1.5,Utah
2009,1.4,Utah
2010,1.9,Utah
2011,1.8,Utah
2012,1.8,Utah
2001,2.9,Utah
2002,2,Utah
2003,2.6,Utah
2014,2.2,Utah
1995,3.9,Utah
2015,1.9,Utah
1989,2.6,Utah
1990,3,Utah
1991,2.9,Utah
1992,3,Utah
1993,3.1,Utah
1994,2.9,Utah
2004,1.9,Utah
1997,2.4,Utah
2013,1.8,Utah
2016,2.4,Utah
2018,2,Utah
2019,2.2,Utah
