Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,2.7,Vermont
1996,1.9,Vermont
1997,1.5,Vermont
1998,2.2,Vermont
1999,2.9,Vermont
2000,1.5,Vermont
2001,1.1,Vermont
2002,2.1,Vermont
2003,2.4,Vermont
2004,2.6,Vermont
2005,1.3,Vermont
2006,2.2,Vermont
2007,2.1,Vermont
2008,2.7,Vermont
2009,1.3,Vermont
2010,1.1,Vermont
2011,1.8,Vermont
2012,1.3,Vermont
2014,1.6,Vermont
1995,2.2,Vermont
2015,1.6,Vermont
2013,1.6,Vermont
1989,1.9,Vermont
1990,2.3,Vermont
1991,2.1,Vermont
1992,2.1,Vermont
1993,3.6,Vermont
1994,1,Vermont
2016,2.2,Vermont
2018,1.8,Vermont
2019,1.8,Vermont
