Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,5.6,Virginia
1996,7.5,Virginia
1997,7.2,Virginia
1998,6.2,Virginia
1999,5.7,Virginia
2000,5.7,Virginia
2001,5.1,Virginia
2002,5.3,Virginia
2003,5.6,Virginia
2004,5.2,Virginia
2005,6.1,Virginia
2006,5.3,Virginia
2007,5.4,Virginia
2008,4.8,Virginia
2009,4.7,Virginia
2010,4.7,Virginia
2011,3.8,Virginia
2012,3.9,Virginia
2014,4.2,Virginia
1995,7.6,Virginia
2015,4.7,Virginia
2013,3.9,Virginia
1989,7.9,Virginia
1990,8.8,Virginia
1991,9.3,Virginia
1992,8.8,Virginia
1993,8.3,Virginia
1994,8.7,Virginia
2016,5.7,Virginia
2018,4.9,Virginia
2019,5,Virginia
