Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
1990,4.9,Washington
1993,5.2,Washington
1994,5.5,Washington
1992,5,Washington
2017,3,Washington
1996,4.6,Washington
1997,4.3,Washington
1998,3.9,Washington
1999,3,Washington
2000,3.3,Washington
2001,3,Washington
2002,3,Washington
2003,3,Washington
2004,3.1,Washington
2005,3.3,Washington
2006,3.1,Washington
2007,2.7,Washington
2008,2.9,Washington
2009,2.9,Washington
2010,2.3,Washington
2011,2.4,Washington
2012,3.1,Washington
2014,2.5,Washington
1995,5.1,Washington
2015,3,Washington
2013,2.4,Washington
1989,4.4,Washington
1991,4.2,Washington
2016,2.7,Washington
2018,3.1,Washington
2019,2.6,Washington
