Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,5.4,West Virginia
1996,3.8,West Virginia
1997,4.1,West Virginia
1998,4.3,West Virginia
1999,4.4,West Virginia
2000,2.5,West Virginia
2001,2.2,West Virginia
2002,3.2,West Virginia
2003,4,West Virginia
2004,3.8,West Virginia
2005,4.5,West Virginia
2006,4.4,West Virginia
2007,3.6,West Virginia
2008,3.7,West Virginia
2009,4.6,West Virginia
2010,3.1,West Virginia
2011,4.7,West Virginia
2012,3.8,West Virginia
2013,3.3,West Virginia
1995,4.9,West Virginia
2014,4.5,West Virginia
2015,4.6,West Virginia
1989,6.5,West Virginia
1990,5.7,West Virginia
1991,6.2,West Virginia
1992,6.3,West Virginia
1993,6.9,West Virginia
1994,5.4,West Virginia
2016,4.6,West Virginia
2018,4.2,West Virginia
2019,4.4,West Virginia
