Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2011,2.4,Wisconsin
2017,3.3,Wisconsin
1996,4,Wisconsin
1997,4,Wisconsin
1998,3.6,Wisconsin
1999,3.4,Wisconsin
2000,3.2,Wisconsin
2001,3.6,Wisconsin
2002,2.8,Wisconsin
2003,3.3,Wisconsin
2004,2.8,Wisconsin
2005,3.7,Wisconsin
2006,3,Wisconsin
2007,3.3,Wisconsin
2008,2.6,Wisconsin
2009,2.6,Wisconsin
2010,2.7,Wisconsin
2012,3,Wisconsin
1995,4.3,Wisconsin
2014,2.8,Wisconsin
2015,4.2,Wisconsin
2013,2.8,Wisconsin
1989,3.6,Wisconsin
1990,4.6,Wisconsin
1991,4.8,Wisconsin
1992,4.4,Wisconsin
1993,4.4,Wisconsin
1994,4.5,Wisconsin
2016,4,Wisconsin
2018,3,Wisconsin
2019,3,Wisconsin
