Year,Rate,Location
2015,4.9,United States
2000,5.5,United States
1997,6.8,United States
1998,6.3,United States
1999,5.7,United States
2001,5.6,United States
2002,5.6,United States
2003,5.7,United States
2004,5.5,United States
2005,5.6,United States
2006,5.8,United States
2007,5.7,United States
2008,5.4,United States
2009,5,United States
2010,4.8,United States
2011,4.7,United States
1989,8.7,United States
1990,9.4,United States
1991,9.8,United States
1992,9.3,United States
1993,9.5,United States
1994,9,United States
2017,5.3,United States
2012,4.7,United States
2013,4.5,United States
2014,4.4,United States
1995,8.2,United States
1996,7.4,United States
2016,5.4,United States
2018,5,United States
2019,5,United States
2017,2.4,Wyoming
1996,3.3,Wyoming
1997,3.5,Wyoming
1998,4.8,Wyoming
1999,2.3,Wyoming
2000,2.4,Wyoming
2001,1.8,Wyoming
2002,3,Wyoming
2003,2.8,Wyoming
2004,2.2,Wyoming
2005,2.8,Wyoming
2006,2.5,Wyoming
2007,4,Wyoming
2008,2.3,Wyoming
2009,2,Wyoming
2010,1.4,Wyoming
2011,3.2,Wyoming
2012,2.4,Wyoming
1995,2.1,Wyoming
2015,2.7,Wyoming
2013,2.9,Wyoming
2014,2.7,Wyoming
1989,4.4,Wyoming
1990,4.9,Wyoming
1991,3.3,Wyoming
1993,3.4,Wyoming
1994,3.4,Wyoming
1992,3.6,Wyoming
2016,3.4,Wyoming
2018,2.4,Wyoming
2019,2.2,Wyoming
