Year,STATE,HFR,HFR_se,Fem_FS_S,Male_FS_S,BRFSS,GALLUP,GSS,PEW,AvgGunOwnershipEst
1980,Alabama,0.608,0.031,0.824324324,0.833795014,,0.553950394,0.583631578,,0.568790986
1981,Alabama,0.597,0.047,0.692307692,0.831125828,,,,,
1982,Alabama,0.661,0.036,0.77173913,0.821428571,,,0.655195914,,0.655195914
1983,Alabama,0.586,0.038,0.688172043,0.819277108,,0.611440283,,,0.611440283
1984,Alabama,0.624,0.036,0.71,0.775956284,,,0.626932571,,0.626932571
1985,Alabama,0.644,0.031,0.755555556,0.835294118,,0.611974192,0.662105594,,0.637039893
1986,Alabama,0.567,0.038,0.686868687,0.777777778,,0.596843465,,,0.596843465
1987,Alabama,0.609,0.036,0.711340206,0.795454545,,,0.586605265,,0.586605265
1988,Alabama,0.606,0.031,0.638095238,0.804071247,,0.768345462,0.505046458,,0.63669596
1989,Alabama,0.627,0.031,0.714285714,0.801470588,,0.702464325,0.583599277,,0.643031801
1990,Alabama,0.641,0.031,0.767676768,0.860240964,,0.652096038,0.620018427,,0.6360572325
1991,Alabama,0.632,0.031,0.65625,0.81489842,,0.699917832,0.616140965,,0.6580293985
1992,Alabama,0.552,0.047,0.717391304,0.765661253,,,,,
1993,Alabama,0.6,0.031,0.71559633,0.794117647,,0.682880664,0.541685358,,0.612283011
1994,Alabama,0.571,0.036,0.657894737,0.775119617,,,0.545011063,,0.545011063
1995,Alabama,0.554,0.047,0.639534884,0.786163522,,,,,
1996,Alabama,0.568,0.031,0.699029126,0.8,,0.502761351,0.569423208,,0.5360922795
1997,Alabama,0.557,0.029,0.697247706,0.781637717,,0.594294617,,0.570439779,0.582367198
1998,Alabama,0.577,0.036,0.657657658,0.794759825,,,0.546264369,,0.546264369
1999,Alabama,0.537,0.036,0.697916667,0.801742919,,0.520277205,,,0.520277205
2000,Alabama,0.538,0.026,0.616071429,0.760084926,,0.575660014,0.435643214,0.606166292,0.5391565067
2001,Alabama,0.522,0.021,0.608247423,0.790361446,0.51973616,,,,0.51973616
2002,Alabama,0.553,0.02,0.565656566,0.78313253,0.575970917,,0.44089847,,0.5084346935
